SpID,Grupo taxonómico,Familia,Genero,Especie,Sinonimia,Habito,Origen,Estado de conservacion,Regiones_Biogeograficas,Elevacion_Minima,Elevacion_Maxima
875,Monocotiledoneas,ARECACEAE,Bactris,Bactris martiana,,Arbusto  Ìrbol  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia,80m,300m
876,Monocotiledoneas,ARECACEAE,Bactris,Bactris obovata,Bactris hondurensis Standl.  Bactris paula L.H.Bailey,Arbusto  Palma cespitosa,Nativa,Casi Amenazada,Pacifico,0m,700m
877,Monocotiledoneas,ARECACEAE,Bactris,Bactris pilosa,Bactris granatensis (H.Karst.) H.Wendl.,Arbusto  Palma cespitosa,Nativa,Casi Amenazada,Llanura del Caribe  Orinoquia  Pacifico  Valle del Magdalena,0m,1000m
878,Monocotiledoneas,ARECACEAE,Bactris,Bactris riparia,,Arbusto  Ìrbol,Nativa,Preocupacion Menor,Amazonia,80m,300m
879,Monocotiledoneas,ARECACEAE,Bactris,Bactris rostrata,,Arbusto  Palma cespitosa,Nativa,Vulnerable,Pacifico,100m,100m
880,Monocotiledoneas,ARECACEAE,Bactris,Bactris setulosa,Bactris cuvaro H.Karst.  Bactris kalbreyeri Burret,Ìrbol  Palma cespitosa,Nativa,Preocupacion Menor,Andes  Pacifico  Sierra Nevada de Santa Marta,0m,1800m
881,Monocotiledoneas,ARECACEAE,Bactris,Bactris simplicifrons,Amylocarpus angustifolius Huber  Bactris huberiana Burret,Subarbusto  Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena  Orinoquia  Pacifico,80m,400m
882,Monocotiledoneas,ARECACEAE,Bactris,Bactris sphaerocarpa,Bactris tomentosa var. sphaerocarpa (Trail) A.J.Hend.,Subarbusto  Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia,300m,800m
883,Monocotiledoneas,ARECACEAE,Bismarckia,Bismarckia nobilis,,Ìrbol,Cultivada,No Evaluada,,0m,1600m
884,Monocotiledoneas,ARECACEAE,Calyptrogyne,Calyptrogyne baudensis,,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Pacifico,0m,350m
885,Monocotiledoneas,ARECACEAE,Calyptrogyne,Calyptrogyne costatifrons,,Arbusto  Arbolito  Palma solitaria,Nativa,Vulnerable,Pacifico,0m,350m
886,Monocotiledoneas,ARECACEAE,Caryota,Caryota mitis,,Arbusto  Ìrbol,Cultivada,No Evaluada,Islas Caribenas,0m,2600m
887,Monocotiledoneas,ARECACEAE,Caryota,Caryota urens,,Ìrbol  Palma solitaria,Cultivada,No Evaluada,,0m,2600m
888,Monocotiledoneas,ARECACEAE,Ceroxylon,Ceroxylon alpinum,Ceroxylon ferrugineum Regel,Ìrbol  Palma solitaria,Nativa,En Peligro,Andes,1400m,2000m
889,Monocotiledoneas,ARECACEAE,Ceroxylon,Ceroxylon ceriferum,Ceroxylon schultzei Burret,Ìrbol  Palma solitaria,Nativa,En Peligro,Andes  Sierra Nevada de Santa Marta,1900m,2800m
890,Monocotiledoneas,ARECACEAE,Ceroxylon,Ceroxylon parvifrons,Ceroxylon mooreanum Galeano & R.Bernal  Ceroxylon sclerophyllum Dugand,Ìrbol,Nativa,Vulnerable,Andes,1900m,3200m
891,Monocotiledoneas,ARECACEAE,Ceroxylon,Ceroxylon quindiuense,Ceroxylon floccosum Burret,Ìrbol  Palma solitaria,Nativa,En Peligro,Andes,1550m,3100m
892,Monocotiledoneas,ARECACEAE,Ceroxylon,Ceroxylon sasaimae,,Ìrbol  Palma solitaria,Nativa,En Peligro,Andes,1350m,1800m
893,Monocotiledoneas,ARECACEAE,Ceroxylon,Ceroxylon ventricosum,,Ìrbol  Palma solitaria,Nativa,En Peligro,Andes,1600m,3000m
894,Monocotiledoneas,ARECACEAE,Ceroxylon,Ceroxylon vogelianum,Ceroxylon flexuosum Galeano & R.Bernal  Ceroxylon hexandrum Dugand,Ìrbol  Palma solitaria,Nativa,Vulnerable,Andes,1900m,3000m
895,Monocotiledoneas,ARECACEAE,Chamaedorea,Chamaedorea christinae,,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Pacifico,10m,100m
896,Monocotiledoneas,ARECACEAE,Chamaedorea,Chamaedorea deneversiana,,Subarbusto  Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Andes  Pacifico,50m,1300m
897,Monocotiledoneas,ARECACEAE,Chamaedorea,Chamaedorea linearis,Chamaedorea latisecta (L.H.Bailey) A.H.Gentry,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Andes  Pacifico  Sierra Nevada de Santa Marta,300m,2800m
898,Monocotiledoneas,ARECACEAE,Chamaedorea,Chamaedorea ponderosa,,Arbusto  Palma solitaria,Nativa,Datos Insuficientes,Pacifico,1300m,1520m
899,Monocotiledoneas,ARECACEAE,Chamaedorea,Chamaedorea ricardoi,,Arbusto  Palma solitaria,Nativa,En Peligro,Pacifico  Valle del Magdalena,100m,920m
900,Monocotiledoneas,ARECACEAE,Chamaedorea,Chamaedorea seifrizii,,Subarbusto  Arbusto  Palma solitaria,Cultivada,No Evaluada,,0m,2600m
901,Monocotiledoneas,ARECACEAE,Chamaedorea,Chamaedorea tepejilote,Chamaedorea columbica Burret,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Andes  Pacifico,0m,1500m
902,Monocotiledoneas,ARECACEAE,Chamaedorea,Chamaedorea warscewiczii,Chamaedorea macroloba Galeano  Chamaedorea murriensis Galeano,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Andes  Pacifico,0m,1500m
903,Monocotiledoneas,ARECACEAE,Chamaedorea,Chamaedorea woodsoniana,,Arbusto  Palma solitaria,Nativa,Datos Insuficientes,Pacifico,1300m,1520m
904,Monocotiledoneas,ARECACEAE,Chamaerops,Chamaerops humilis,,Arbusto,Cultivada,No Evaluada,,2600m,2600m
905,Monocotiledoneas,ARECACEAE,Chelyocarpus,Chelyocarpus dianeurus,,Arbusto  Ìrbol  Palma solitaria,Nativa,Casi Amenazada,Pacifico,0m,100m
906,Monocotiledoneas,ARECACEAE,Chelyocarpus,Chelyocarpus ulei,,Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Amazonia,300m,300m
907,Monocotiledoneas,ARECACEAE,Coccothrinax,Coccothrinax argentata,Coccothrinax jamaicensis Read,Arbusto  Arbolito  Palma solitaria,Nativa,En Peligro,Islas Caribenas,0m,300m
908,Monocotiledoneas,ARECACEAE,Cocos,Cocos nucifera,,Ìrbol  Palma solitaria,Nativa y cultivada,No Evaluada,Amazonia  Andes  Guayana y Serrania de La Macarena  Islas Caribenas  Llanura del Caribe  Orinoquia  Pacifico  Valle del Cauca  Valle del Magdalena,0m,1500m
909,Monocotiledoneas,ARECACEAE,Copernicia,Copernicia tectorum,Copernicia sanctae-martae Becc.,Arbusto  Ìrbol  Palma solitaria,Nativa,Casi Amenazada,Llanura del Caribe,0m,100m
910,Monocotiledoneas,ARECACEAE,Cryosophila,Cryosophila kalbreyeri,Acanthorrhiza kalbreyeri Burret  Cryosophila kalbreyeri subsp. cogolloi R.Evans,Arbusto  Ìrbol  Palma solitaria,Nativa,Vulnerable,Andes  Llanura del Caribe  Pacifico  Valle del Magdalena,0m,1200m
911,Monocotiledoneas,ARECACEAE,Cryosophila,Cryosophila macrocarpa,,Arbusto  Palma solitaria,Nativa,Datos Insuficientes,Pacifico,0m,50m
912,Monocotiledoneas,ARECACEAE,Cyrtostachys,Cyrtostachys renda,,Arbusto  Palma solitaria,Cultivada,No Evaluada,Andes  Llanura del Caribe  Valle del Cauca,400m,1500m
913,Monocotiledoneas,ARECACEAE,Dictyocaryum,Dictyocaryum lamarckianum,Dictyocaryum globiferum Dugand  Dictyocaryum platysepalum Burret  Dictyocaryum schultzei Burret  Iriartea lamarckiana Mart.,Ìrbol  Palma solitaria,Nativa,Preocupacion Menor,Andes  Sierra Nevada de Santa Marta,400m,2100m
914,Monocotiledoneas,ARECACEAE,Dictyocaryum,Dictyocaryum ptarianum,Dahlgrenia ptariana Steyerm.,Ìrbol  Palma solitaria,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena,100m,300m
915,Monocotiledoneas,ARECACEAE,Dypsis,Dypsis decaryi,Neodypsis decaryi Jum.,Ìrbol  Palma solitaria,Cultivada,No Evaluada,,500m,1500m
916,Monocotiledoneas,ARECACEAE,Dypsis,Dypsis lutescens,Chrysalidocarpus lutescens H.Wendl.,Arbusto,Cultivada,No Evaluada,,0m,2600m
917,Monocotiledoneas,ARECACEAE,Dypsis,Dypsis madagascariensis,Chrysalidocarpus lucubensis Becc.  Chrysalidocarpus madagascariensis Becc.,Ìrbol  Palma solitaria,Cultivada,No Evaluada,,500m,1500m
918,Monocotiledoneas,ARECACEAE,Elaeis,Elaeis guineensis,,Ìrbol  Palma solitaria,Cultivada,No Evaluada,,100m,1500m
919,Monocotiledoneas,ARECACEAE,Elaeis,Elaeis oleifera,Alfonsia oleifera Kunth,Arbusto  Ìrbol  Palma solitaria,Nativa,En Peligro,Llanura del Caribe  Pacifico  Valle del Magdalena,0m,300m
920,Monocotiledoneas,ARECACEAE,Euterpe,Euterpe catinga,,Ìrbol  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena,80m,350m
921,Monocotiledoneas,ARECACEAE,Euterpe,Euterpe longivaginata,Euterpe kalbreyeri Burret  Euterpe microcarpa Burret  Euterpe precatoria var. longevaginata (Mart.) A.J.Hend.  Euterpe rhodoxyla Dugand,Ìrbol  Palma cespitosa  Palma solitaria,Nativa,Preocupacion Menor,Andes  Orinoquia  Pacifico  Valle del Magdalena,80m,1900m
922,Monocotiledoneas,ARECACEAE,Euterpe,Euterpe oleracea,Euterpe cuatrecasana Dugand,Ìrbol  Palma cespitosa,Nativa,Preocupacion Menor,Pacifico  Valle del Magdalena,0m,200m
923,Monocotiledoneas,ARECACEAE,Euterpe,Euterpe precatoria,,Ìrbol  Palma solitaria,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena  Orinoquia,0m,450m
924,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma baculifera,,Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Amazonia,80m,150m
925,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma brongniartii,,Hierba  Subarbusto  Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Amazonia  Andes  Guayana y Serrania de La Macarena  Orinoquia,75m,1200m
926,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma calyptrogynoidea,,Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Pacifico  Valle del Magdalena,0m,900m
927,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma camana,Taenianthera camana (Trail) Burret,Subarbusto  Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Amazonia,80m,300m
928,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma chlamydostachys,,Arbusto  Palma solitaria,Nativa,Vulnerable,Andes  Valle del Magdalena,300m,1450m
929,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma chococola,Geonoma awaensis A.J.Hend. et al.,Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Andes  Pacifico,0m,700m
930,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma concinna,Geonoma concinna subsp. simplex A.J.Hend.,Arbusto  Palma cespitosa,Nativa,Datos Insuficientes,Andes,700m,1750m
931,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma cuneata,Geonoma cuneatoidea Burret  Geonoma grandifrons Burret,Hierba  Arbusto  Palma acaule  Palma solitaria,Nativa,Preocupacion Menor,Andes  Pacifico,0m,1500m
932,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma deversa,Geonoma deversa subsp. quadriflora A.J.Hend.,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Orinoquia  Pacifico  Valle del Magdalena,0m,1200m
933,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma divisa,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Pacifico,50m,1000m
934,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma euspatha,,Arbusto,Nativa,No Evaluada,Andes  Guayana y Serrania de La Macarena,200m,1500m
935,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma fosteri,,Arbusto,Nativa,Preocupacion Menor,Andes,500m,800m
936,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma frontinensis,Geonoma mucronata Burret,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Andes,1000m,2060m
937,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma galeanoae,,Arbusto  Palma cespitosa,Nativa,Vulnerable,Andes  Valle del Magdalena,800m,1250m
938,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma gentryi,,Arbusto  Palma cespitosa,Nativa,No Evaluada,Pacifico,150m,150m
939,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma interrupta,Geonoma dryanderae Burret  Geonoma pinnatifrons Willd.  Geonoma pinnatifrons subsp. platybothros (Burret) A.J.Hend.  Geonoma pinnatifrons subsp. ramosissima (Burret) A.J.Hend.  Geonoma purdieana Spruce  Geonoma ramosissima Burret  Geonoma rivalis Burret,Arbusto,Nativa,Preocupacion Menor,Andes  Pacifico  Sierra Nevada de Santa Marta  Valle del Magdalena,20m,1540m
940,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma lanata,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Andes,750m,860m
941,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma laxiflora,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia,80m,300m
942,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma lehmannii,Geonoma acutangula Burret  Geonoma dicranospadix Burret  Geonoma gracillima Burret  Geonoma helminthostachys Burret,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Andes,1500m,2700m
943,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma leptospadix,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia,100m,500m
944,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma maxima,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena  Pacifico  Valle del Magdalena,80m,360m
945,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma oligoclona,,Arbusto  Palma cespitosa  Palma solitaria,Nativa,Preocupacion Menor,Amazonia,100m,250m
946,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma orbignyana,Geonoma aulacophylla Burret  Geonoma goniocarpa Burret  Geonoma jussieuana Mart.  Geonoma lepidota Burret  Geonoma lindeniana H.Wendl.  Geonoma linearifolia H.Karst.  Geonoma macroura Burret  Geonoma marggraffia Engel  Geonoma microclada Burret  Geonoma paleacea Burret  Geonoma plicata Burret  Geonoma pumila Linden & H.Wendl.  Geonoma wendlandiana Burret,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Andes,700m,2900m
947,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma poeppigiana,Geonoma longepedunculata Burret,Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Amazonia,80m,250m
948,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma santanderensis,,Hierba  Arbusto  Palma cespitosa,Nativa,Vulnerable,Andes,1700m,1900m
949,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma solitaria,Geonoma weberbaueri Burret,Arbusto  Arbolito  Palma solitaria,Nativa,Preocupacion Menor,Andes,2300m,3200m
950,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma triandra,Kalbreyera triandra Burret,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Andes  Pacifico,0m,1000m
951,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma triglochin,,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Andes,700m,1500m
952,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma undata,Geonoma appuniana Spruce  Geonoma densa Linden & H.Wendl.  Geonoma euterpoidea Burret  Geonoma iodolepis Burret  Geonoma stenothyrsa Burret,Arbusto  Ìrbol  Palma solitaria,Nativa,Casi Amenazada,Andes  Sierra Nevada de Santa Marta,1200m,2700m
953,Monocotiledoneas,ARECACEAE,Geonoma,Geonoma wilsonii,,Subarbusto  Arbusto  Palma solitaria,Nativa,Casi Amenazada,Andes,1350m,1900m
954,Monocotiledoneas,ARECACEAE,Howea,Howea forsteriana,,Ìrbol  Palma solitaria,Cultivada,No Evaluada,,0m,2600m
955,Monocotiledoneas,ARECACEAE,Hyophorbe,Hyophorbe verschaffeltii,,Arbusto  Palma solitaria,Cultivada,No Evaluada,,0m,1600m
956,Monocotiledoneas,ARECACEAE,Hyospathe,Hyospathe elegans,Hyospathe pallida H.E.Moore,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Andes  Pacifico  Valle del Magdalena,40m,1900m
957,Monocotiledoneas,ARECACEAE,Hyospathe,Hyospathe frontinensis,,Arbusto  Palma cespitosa,Nativa,Vulnerable,Andes  Pacifico,25m,1750m
958,Monocotiledoneas,ARECACEAE,Hyospathe,Hyospathe pittieri,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Andes  Pacifico,1100m,1980m
959,Monocotiledoneas,ARECACEAE,Hyospathe,Hyospathe wendlandiana,,Arbusto  Palma cespitosa,Nativa,En Peligro,Andes,1495m,1800m
960,Monocotiledoneas,ARECACEAE,Iriartea,Iriartea deltoidea,Deckeria corneto H.Karst.  Iriartea corneto (H.Karst.) H.Wendl.  Iriartea megalocarpa Burret  Iriartea ventricosa Mart.,Ìrbol  Palma solitaria,Nativa,Preocupacion Menor,Amazonia  Andes  Guayana y Serrania de La Macarena  Orinoquia  Pacifico  Valle del Magdalena,0m,1350m
961,Monocotiledoneas,ARECACEAE,Iriartella,Iriartella setigera,Cuatrecasea spruceana (Barb.Rodr.) Dugand  Cuatrecasea vaupesana Dugand  Iriartella spruceana (Barb.Rodr.) Barb.Rodr.,Arbusto  Arbolito  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena,100m,800m
962,Monocotiledoneas,ARECACEAE,Iriartella,Iriartella stenocarpa,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia,100m,250m
963,Monocotiledoneas,ARECACEAE,Itaya,Itaya amicorum,,Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Amazonia,100m,250m
964,Monocotiledoneas,ARECACEAE,Leopoldinia,Leopoldinia piassaba,,Ìrbol  Palma solitaria,Nativa,Casi Amenazada,Guayana y Serrania de La Macarena,80m,200m
965,Monocotiledoneas,ARECACEAE,Leopoldinia,Leopoldinia pulchra,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Guayana y Serrania de La Macarena,50m,200m
966,Monocotiledoneas,ARECACEAE,Lepidocaryum,Lepidocaryum tenue,Lepidocaryum allenii Dugand  Lepidocaryum gracile Mart.  Lepidocaryum guainiense (Spruce) Drude  Lepidocaryum tenue var. casiquiarense (Spruce) A.J.Hend.  Lepidocaryum tenue var. gracile (Mart.) A.J.Hend.,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena,80m,300m
967,Monocotiledoneas,ARECACEAE,Licuala,Licuala grandis,,Arbusto,Cultivada,No Evaluada,,0m,1500m
968,Monocotiledoneas,ARECACEAE,Livistona,Livistona chinensis,,Ìrbol  Palma solitaria,Cultivada,No Evaluada,,0m,1600m
969,Monocotiledoneas,ARECACEAE,Livistona,Livistona rotundifolia,,Ìrbol  Palma solitaria,Cultivada,No Evaluada,,0m,2600m
970,Monocotiledoneas,ARECACEAE,Lytocaryum,Lytocaryum weddellianum,,Arbusto  Palma solitaria,Cultivada,No Evaluada,,1500m,1700m
971,Monocotiledoneas,ARECACEAE,Manicaria,Manicaria martiana,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena,80m,250m
972,Monocotiledoneas,ARECACEAE,Manicaria,Manicaria saccifera,,Ìrbol  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena  Pacifico,0m,250m
973,Monocotiledoneas,ARECACEAE,Mauritia,Mauritia carana,,Ìrbol  Palma solitaria,Nativa,Preocupacion Menor,Guayana y Serrania de La Macarena,100m,250m
974,Monocotiledoneas,ARECACEAE,Mauritia,Mauritia flexuosa,,Ìrbol  Palma solitaria,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena,40m,450m
975,Monocotiledoneas,ARECACEAE,Mauritiella,Mauritiella aculeata,Mauritiella cataractarum Dugand,Ìrbol  Palma cespitosa,Nativa,Preocupacion Menor,Guayana y Serrania de La Macarena,100m,250m
976,Monocotiledoneas,ARECACEAE,Mauritiella,Mauritiella armata,,Ìrbol  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena  Orinoquia,50m,500m
977,Monocotiledoneas,ARECACEAE,Mauritiella,Mauritiella macroclada,Mauritia macroclada Burret  Mauritiella pacifica Dugand,Ìrbol,Nativa,Preocupacion Menor,Andes  Pacifico,0m,100m
978,Monocotiledoneas,ARECACEAE,Mauritiella,Mauritiella pumila,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Guayana y Serrania de La Macarena,100m,150m
979,Monocotiledoneas,ARECACEAE,Oenocarpus,Oenocarpus bacaba,,Ìrbol  Palma solitaria,Nativa,Preocupacion Menor,Guayana y Serrania de La Macarena,60m,300m
980,Monocotiledoneas,ARECACEAE,Oenocarpus,Oenocarpus balickii,,Ìrbol  Palma solitaria,Nativa,Preocupacion Menor,Amazonia  Guayana y Serrania de La Macarena,80m,200m
981,Monocotiledoneas,ARECACEAE,Oenocarpus,Oenocarpus bataua,Jessenia bataua (Mart.) Burret  Jessenia polycarpa H.Karst.  Jessenia repanda Engel,Ìrbol  Palma solitaria,Nativa,Preocupacion Menor,Amazonia  Andes  Guayana y Serrania de La Macarena  Orinoquia  Pacifico  Valle del Magdalena,0m,1000m
982,Monocotiledoneas,ARECACEAE,Oenocarpus,Oenocarpus circumtextus,,Arbusto  Palma solitaria,Nativa,Vulnerable,Amazonia,300m,300m
983,Monocotiledoneas,ARECACEAE,Oenocarpus,Oenocarpus makeru,,Ìrbol  Palma solitaria,Nativa,Casi Amenazada,Amazonia,100m,150m
984,Monocotiledoneas,ARECACEAE,Oenocarpus,Oenocarpus minor,Oenocarpus dryanderae Burret  Oenocarpus mapora H.Karst.  Oenocarpus mapora subsp. dryanderae (Burret) Balick  Oenocarpus mapora subsp. mapora,Ìrbol  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Andes  Guayana y Serrania de La Macarena  Orinoquia  Pacifico  Valle del Magdalena,0m,1000m
985,Monocotiledoneas,ARECACEAE,Oenocarpus,Oenocarpus simplex,,Arbusto  Palma cespitosa,Nativa,Casi Amenazada,Amazonia,100m,100m
986,Monocotiledoneas,ARECACEAE,Parajubaea,Parajubaea cocoides,,Ìrbol  Palma solitaria,Cultivada,No Evaluada,Andes,1500m,3000m
987,Monocotiledoneas,ARECACEAE,Phoenix,Phoenix canariensis,,Ìrbol  Palma solitaria,Cultivada,No Evaluada,,1500m,2600m
988,Monocotiledoneas,ARECACEAE,Phoenix,Phoenix dactylifera,,Ìrbol  Palma solitaria,Cultivada,No Evaluada,,1500m,1500m
989,Monocotiledoneas,ARECACEAE,Phoenix,Phoenix reclinata,,Ìrbol,Cultivada,No Evaluada,,0m,2600m
990,Monocotiledoneas,ARECACEAE,Phoenix,Phoenix roebelenii,,Arbusto  Palma solitaria,Cultivada,No Evaluada,,m,m
991,Monocotiledoneas,ARECACEAE,Pholidostachys,Pholidostachys dactyloides,,Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Andes  Pacifico,5m,1500m
992,Monocotiledoneas,ARECACEAE,Pholidostachys,Pholidostachys occidentalis,Calyptrogyne kalbreyeri Burret,Arbusto  Palma solitaria,Nativa,No Evaluada,Andes  Pacifico,300m,1600m
993,Monocotiledoneas,ARECACEAE,Pholidostachys,Pholidostachys panamensis,,Arbusto  Palma solitaria,Nativa,Vulnerable,Pacifico,100m,200m
994,Monocotiledoneas,ARECACEAE,Pholidostachys,Pholidostachys pulchra,Pholidostachys kalbreyeri Burret,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Pacifico,0m,1000m
995,Monocotiledoneas,ARECACEAE,Pholidostachys,Pholidostachys sanluisensis,,Arbusto  Palma solitaria,Nativa,Vulnerable,Andes,700m,1440m
996,Monocotiledoneas,ARECACEAE,Pholidostachys,Pholidostachys synanthera,Calyptrogyne synanthera (Mart.) Burret,Arbusto  Palma solitaria,Nativa,Preocupacion Menor,Amazonia,0m,1625m
997,Monocotiledoneas,ARECACEAE,Phytelephas,Phytelephas macrocarpa,Phytelephas karstenii O.F.Cook  Phytelephas pittieri O.F.Cook  Phytelephas schottii H.Wendl.  Phytelephas seemannii O.F.Cook,Arbusto  Palma solitaria,Nativa,Casi Amenazada,Amazonia  Andes  Pacifico  Valle del Magdalena,0m,1700m
998,Monocotiledoneas,ARECACEAE,Phytelephas,Phytelephas tenuicaulis,Phytelephas macrocarpa subsp. tenuicaulis Barfod,Arbusto  Palma cespitosa,Nativa,Casi Amenazada,Amazonia,280m,350m
999,Monocotiledoneas,ARECACEAE,Phytelephas,Phytelephas tumacana,,Arbusto  Ìrbol  Palma solitaria,Nativa,En Peligro,Pacifico,0m,200m
1000,Monocotiledoneas,ARECACEAE,Prestoea,Prestoea acuminata,Euterpe andina Burret  Euterpe aphanolepis Burret  Euterpe frigida (Kunth) Burret  Euterpe oocarpa Burret  Euterpe purpurea Engel  Euterpe zephyria Dugand,Arbusto  Ìrbol  Palma cespitosa,Nativa,Preocupacion Menor,Andes  Sierra Nevada de Santa Marta,1500m,2650m
1001,Monocotiledoneas,ARECACEAE,Prestoea,Prestoea carderi,Euterpe brachyclada Burret  Euterpe brevicaulis Burret  Euterpe latisecta Burret  Euterpe parviflora Burret  Euterpe simplicifrons Burret  Prestoea brachyclada (Burret) R.Bernal et al.  Prestoea latisecta (Burret) R.Bernal et al.  Prestoea simplicifrons (Burret) A.J.Hend. & de Nevers,Subarbusto  Arbusto  Palma cespitosa,Nativa,Casi Amenazada,Andes,1000m,2000m
1002,Monocotiledoneas,ARECACEAE,Prestoea,Prestoea decurrens,,Arbusto  Ìrbol  Palma cespitosa,Nativa,Preocupacion Menor,Andes  Pacifico,0m,1500m
1003,Monocotiledoneas,ARECACEAE,Prestoea,Prestoea ensiformis,Prestoea simplicifolia Galeano,Arbusto  Palma cespitosa,Nativa,Casi Amenazada,Andes  Pacifico,450m,1750m
1004,Monocotiledoneas,ARECACEAE,Prestoea,Prestoea longipetiolata,Prestoea cuatrecasasii H.E.Moore,Arbusto  Palma cespitosa,Nativa,No Evaluada,Andes,470m,1750m
1005,Monocotiledoneas,ARECACEAE,Prestoea,Prestoea pubens,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Andes  Pacifico,0m,1200m
1006,Monocotiledoneas,ARECACEAE,Prestoea,Prestoea schultzeana,,Arbusto  Palma cespitosa,Nativa,Preocupacion Menor,Amazonia  Andes,100m,1100m
1007,Monocotiledoneas,ARECACEAE,Pritchardia,Pritchardia pacifica,,Ìrbol  Palma solitaria,Cultivada,No Evaluada,,0m,1600m
1008,Monocotiledoneas,ARECACEAE,Ptychosperma,Ptychosperma elegans,,Arbusto  Ìrbol,Cultivada,No Evaluada,,0m,1600m
1009,Monocotiledoneas,ARECACEAE,Ptychosperma,Ptychosperma macarthurii,,Ìrbol,Cultivada,No Evaluada,,0m,1600m
